image,width,height,egg_id,x,y,confidence
Box1_Cou7_Cou5_A4,3072,2048,1,1241,1350,1.0
Box1_Cou7_Cou5_A4,3072,2048,2,1350,1350,1.0
Box1_Cou7_Cou5_A4,3072,2048,3,735,1311,1.0
Box1_Cou7_Cou5_A4,3072,2048,4,833,1311,1.0
Box1_Cou7_Cou5_A4,3072,2048,5,933,1311,1.0
Box1_Cou7_Cou5_A4,3072,2048,6,1077,1302,1.0
Box1_Cou7_Cou5_A4,3072,2048,7,1177,1284,1.0
Box1_Cou7_Cou5_A4,3072,2048,8,1284,1254,1.0
Box1_Cou7_Cou5_A4,3072,2048,9,1396,1279,1.0
Box1_Cou7_Cou5_A4,3072,2048,10,1468,1238,1.0
Box1_Cou7_Cou5_A4,3072,2048,11,1571,1234,1.0
Box1_Cou7_Cou5_A4,3072,2048,12,1678,1229,1.0
Box1_Cou7_Cou5_A4,3072,2048,13,1801,1241,1.0
Box1_Cou7_Cou5_A4,3072,2048,14,1903,1252,1.0
Box1_Cou7_Cou5_A4,3072,2048,15,2120,1163,1.0
Box1_Cou7_Cou5_A4,3072,2048,16,2047,1165,1.0
Box1_Cou7_Cou5_A4,3072,2048,17,1933,1175,1.0
Box1_Cou7_Cou5_A4,3072,2048,18,1833,1134,1.0
Box1_Cou7_Cou5_A4,3072,2048,19,1698,1156,1.0
Box1_Cou7_Cou5_A4,3072,2048,20,1616,1124,1.0
Box1_Cou7_Cou5_A4,3072,2048,21,1496,1138,1.0
Box1_Cou7_Cou5_A4,3072,2048,22,1366,1161,1.0
Box1_Cou7_Cou5_A4,3072,2048,23,1250,1152,1.0
Box1_Cou7_Cou5_A4,3072,2048,24,1154,1188,1.0
Box1_Cou7_Cou5_A4,3072,2048,25,1058,1188,1.0
Box1_Cou7_Cou5_A4,3072,2048,26,942,1197,1.0
Box1_Cou7_Cou5_A4,3072,2048,27,840,1209,1.0
Box1_Cou7_Cou5_A4,3072,2048,28,740,1229,1.0
Box1_Cou7_Cou5_A4,3072,2048,29,676,1129,1.0
Box1_Cou7_Cou5_A4,3072,2048,30,778,1102,1.0
Box1_Cou7_Cou5_A4,3072,2048,31,894,1118,1.0
Box1_Cou7_Cou5_A4,3072,2048,32,974,1086,1.0
Box1_Cou7_Cou5_A4,3072,2048,33,1077,1093,1.0
Box1_Cou7_Cou5_A4,3072,2048,34,1200,1074,1.0
